name,memory usage(MB)
a=b linpack.aot,2098280
a=b linpack.aot,2098280
a=b linpack.aot,2098280
a=b linpack.aot,2097256
a=b linpack.aot,2098280
a=b linpack.aot,2097392
a=b linpack.aot,2097256
a=b linpack.aot,2097032
a=b linpack.aot,2098280
a=b linpack.aot,2097256
OMP_NUM_THREADS=4 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,1005140
OMP_NUM_THREADS=4 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,1005864
OMP_NUM_THREADS=4 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,1005200
OMP_NUM_THREADS=4 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,1005720
OMP_NUM_THREADS=4 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,1005480
OMP_NUM_THREADS=4 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,1005640
OMP_NUM_THREADS=4 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,1004620
OMP_NUM_THREADS=4 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,1005272
OMP_NUM_THREADS=4 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,1005292
OMP_NUM_THREADS=4 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,1005480
"a=b rgbd_tum.aot ./ORBvoc.txt, ./TUM3.yaml ./ ./associations/fr1_xyz.txt",2100284
"a=b rgbd_tum.aot ./ORBvoc.txt, ./TUM3.yaml ./ ./associations/fr1_xyz.txt",2099916
"a=b rgbd_tum.aot ./ORBvoc.txt, ./TUM3.yaml ./ ./associations/fr1_xyz.txt",2099676
"a=b rgbd_tum.aot ./ORBvoc.txt, ./TUM3.yaml ./ ./associations/fr1_xyz.txt",2098860
"a=b rgbd_tum.aot ./ORBvoc.txt, ./TUM3.yaml ./ ./associations/fr1_xyz.txt",2098836
"a=b rgbd_tum.aot ./ORBvoc.txt, ./TUM3.yaml ./ ./associations/fr1_xyz.txt",2098964
"a=b rgbd_tum.aot ./ORBvoc.txt, ./TUM3.yaml ./ ./associations/fr1_xyz.txt",2098176
"a=b rgbd_tum.aot ./ORBvoc.txt, ./TUM3.yaml ./ ./associations/fr1_xyz.txt",2100264
"a=b rgbd_tum.aot ./ORBvoc.txt, ./TUM3.yaml ./ ./associations/fr1_xyz.txt",2099916
"a=b rgbd_tum.aot ./ORBvoc.txt, ./TUM3.yaml ./ ./associations/fr1_xyz.txt",2099916
OMP_NUM_THREADS=4 bfs.aot -f ./road.sg -n300,825500
OMP_NUM_THREADS=4 bfs.aot -f ./road.sg -n300,825500
OMP_NUM_THREADS=4 bfs.aot -f ./road.sg -n300,826384
OMP_NUM_THREADS=4 bfs.aot -f ./road.sg -n300,825568
OMP_NUM_THREADS=4 bfs.aot -f ./road.sg -n300,825500
OMP_NUM_THREADS=4 bfs.aot -f ./road.sg -n300,825372
OMP_NUM_THREADS=4 bfs.aot -f ./road.sg -n300,825912
OMP_NUM_THREADS=4 bfs.aot -f ./road.sg -n300,825808
OMP_NUM_THREADS=4 bfs.aot -f ./road.sg -n300,825768
OMP_NUM_THREADS=4 bfs.aot -f ./road.sg -n300,826280
OMP_NUM_THREADS=4 bc.aot -g20 -vn300,262752
OMP_NUM_THREADS=4 bc.aot -g20 -vn300,262752
OMP_NUM_THREADS=4 bc.aot -g20 -vn300,262752
OMP_NUM_THREADS=4 bc.aot -g20 -vn300,262752
OMP_NUM_THREADS=4 bc.aot -g20 -vn300,262752
OMP_NUM_THREADS=4 bc.aot -g20 -vn300,263512
OMP_NUM_THREADS=4 bc.aot -g20 -vn300,263200
OMP_NUM_THREADS=4 bc.aot -g20 -vn300,263204
OMP_NUM_THREADS=4 bc.aot -g20 -vn300,262752
OMP_NUM_THREADS=4 bc.aot -g20 -vn300,262752
OMP_NUM_THREADS=4 bfs.aot -g20 -vn300,262752
OMP_NUM_THREADS=4 bfs.aot -g20 -vn300,262752
OMP_NUM_THREADS=4 bfs.aot -g20 -vn300,262752
OMP_NUM_THREADS=4 bfs.aot -g20 -vn300,262752
OMP_NUM_THREADS=4 bfs.aot -g20 -vn300,263500
OMP_NUM_THREADS=4 bfs.aot -g20 -vn300,262752
OMP_NUM_THREADS=4 bfs.aot -g20 -vn300,262752
OMP_NUM_THREADS=4 bfs.aot -g20 -vn300,262552
OMP_NUM_THREADS=4 bfs.aot -g20 -vn300,262752
OMP_NUM_THREADS=4 bfs.aot -g20 -vn300,262752
OMP_NUM_THREADS=4 cc.aot -f ./road.sg -n300,824792
OMP_NUM_THREADS=4 cc.aot -f ./road.sg -n300,824476
OMP_NUM_THREADS=4 cc.aot -f ./road.sg -n300,825500
OMP_NUM_THREADS=4 cc.aot -f ./road.sg -n300,825500
OMP_NUM_THREADS=4 cc.aot -f ./road.sg -n300,825440
OMP_NUM_THREADS=4 cc.aot -f ./road.sg -n300,825800
OMP_NUM_THREADS=4 cc.aot -f ./road.sg -n300,825500
OMP_NUM_THREADS=4 cc.aot -f ./road.sg -n300,825284
OMP_NUM_THREADS=4 cc.aot -f ./road.sg -n300,825464
OMP_NUM_THREADS=4 cc.aot -f ./road.sg -n300,825500
OMP_NUM_THREADS=4 cc_sv.aot -g20 -vn300,262664
OMP_NUM_THREADS=4 cc_sv.aot -g20 -vn300,262752
OMP_NUM_THREADS=4 cc_sv.aot -g20 -vn300,262752
OMP_NUM_THREADS=4 cc_sv.aot -g20 -vn300,262752
OMP_NUM_THREADS=4 cc_sv.aot -g20 -vn300,262752
OMP_NUM_THREADS=4 cc_sv.aot -g20 -vn300,262752
OMP_NUM_THREADS=4 cc_sv.aot -g20 -vn300,262752
OMP_NUM_THREADS=4 cc_sv.aot -g20 -vn300,262752
OMP_NUM_THREADS=4 cc_sv.aot -g20 -vn300,262752
OMP_NUM_THREADS=4 cc_sv.aot -g20 -vn300,262732
OMP_NUM_THREADS=4 pr.aot -g20 -vn300,262996
OMP_NUM_THREADS=4 pr.aot -g20 -vn300,262756
OMP_NUM_THREADS=4 pr.aot -g20 -vn300,262756
OMP_NUM_THREADS=4 pr.aot -g20 -vn300,262756
OMP_NUM_THREADS=4 pr.aot -g20 -vn300,262756
OMP_NUM_THREADS=4 pr.aot -g20 -vn300,262756
OMP_NUM_THREADS=4 pr.aot -g20 -vn300,262756
OMP_NUM_THREADS=4 pr.aot -g20 -vn300,262756
OMP_NUM_THREADS=4 pr.aot -g20 -vn300,262756
OMP_NUM_THREADS=4 pr.aot -g20 -vn300,262756
OMP_NUM_THREADS=4 pr_spmv.aot -g20 -vn300,263136
OMP_NUM_THREADS=4 pr_spmv.aot -g20 -vn300,262756
OMP_NUM_THREADS=4 pr_spmv.aot -g20 -vn300,263624
OMP_NUM_THREADS=4 pr_spmv.aot -g20 -vn300,262756
OMP_NUM_THREADS=4 pr_spmv.aot -g20 -vn300,262756
OMP_NUM_THREADS=4 pr_spmv.aot -g20 -vn300,262756
OMP_NUM_THREADS=4 pr_spmv.aot -g20 -vn300,262756
OMP_NUM_THREADS=4 pr_spmv.aot -g20 -vn300,262756
OMP_NUM_THREADS=4 pr_spmv.aot -g20 -vn300,262756
OMP_NUM_THREADS=4 pr_spmv.aot -g20 -vn300,262756
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,394732
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,393816
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,392792
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,393816
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,393816
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,393756
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,393816
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,393816
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,393816
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,393816
OMP_NUM_THREADS=4 tc.aot -g20 -n300,262756
OMP_NUM_THREADS=4 tc.aot -g20 -n300,262672
OMP_NUM_THREADS=4 tc.aot -g20 -n300,262756
OMP_NUM_THREADS=4 tc.aot -g20 -n300,262756
OMP_NUM_THREADS=4 tc.aot -g20 -n300,263632
OMP_NUM_THREADS=4 tc.aot -g20 -n300,262080
OMP_NUM_THREADS=4 tc.aot -g20 -n300,262756
OMP_NUM_THREADS=4 tc.aot -g20 -n300,262756
OMP_NUM_THREADS=4 tc.aot -g20 -n300,262756
OMP_NUM_THREADS=4 tc.aot -g20 -n300,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
a=b redis.aot,1024
a=b redis.aot,0
a=b redis.aot,0
a=b redis.aot,0
a=b redis.aot,0
a=b redis.aot,0
a=b redis.aot,0
a=b redis.aot,0
a=b redis.aot,0
a=b redis.aot,1024
a=b hdastar.aot maze-6404.txt 8,4346908
a=b hdastar.aot maze-6404.txt 8,4346296
a=b hdastar.aot maze-6404.txt 8,4345516
a=b hdastar.aot maze-6404.txt 8,4345516
a=b hdastar.aot maze-6404.txt 8,4346748
a=b hdastar.aot maze-6404.txt 8,4346448
a=b hdastar.aot maze-6404.txt 8,4346332
a=b hdastar.aot maze-6404.txt 8,4346100
a=b hdastar.aot maze-6404.txt 8,4344232
a=b hdastar.aot maze-6404.txt 8,4346104
