name,-ckpt-loop-counter-1.aot,-ckpt-loop-counter-4.aot,-ckpt-loop-counter-8.aot,-ckpt-loop-counter-16.aot,-ckpt-loop-counter-20.aot,-ckpt-loop-counter-30.aot,-ckpt-loop-pgo.aot,.aot
OMP_NUM_THREADS=1 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,0.000172,0.000115,0.000147,0.000134,0.00013,0.000126,0.000151,0.000136
OMP_NUM_THREADS=1 bc.aot -g20 -vn300,0.000164,0.000175,0.000177,0.000178,0.000196,0.000191,0.000177,0.000211
OMP_NUM_THREADS=1 bfs.aot -g20 -vn300,0.000171,0.00019,0.00018,0.000233,0.000168,0.000147,0.000173,0.000187
OMP_NUM_THREADS=1 cc.aot -g20 -vn300,0.000172,0.000168,0.00021,0.000127,0.000143,0.000178,0.000181,0.000155
OMP_NUM_THREADS=1 cc_sv.aot -g20 -vn300,0.000134,0.000178,0.000145,0.000167,0.0002,0.000144,0.000159,0.000165
OMP_NUM_THREADS=1 pr.aot -g20 -vn300,0.000163,0.000204,0.000176,0.000175,0.000136,0.000181,0.000187,0.000167
OMP_NUM_THREADS=1 pr_spmv.aot -g20 -vn300,0.00016,0.000169,0.000169,0.00018,0.000169,0.000181,0.000147,0.00015
OMP_NUM_THREADS=1 sssp.aot -g20 -vn300,0.000176,0.000164,0.000162,0.000174,0.000226,0.00015,0.000164,0.000161
OMP_NUM_THREADS=1 tc.aot -g20 -n1,0.000152,0.00014,0.000177,0.000185,0.000135,0.000204,0.000188,0.000134
OMP_NUM_THREADS=1 bt.aot,0.000174,0.000207,0.000198,0.000186,0.000186,0.000251,0.000228,0.000132
OMP_NUM_THREADS=1 cg.aot,0.000108,0.000206,0.000165,0.000177,0.000228,0.000199,0.000151,0.000147
OMP_NUM_THREADS=1 ep.aot,0.000147,0.000147,0.000147,0.000147,0.000147,0.000147,0.000147,0.000147
OMP_NUM_THREADS=1 ft.aot,0.000165,0.000128,0.000168,0.000184,0.000214,0.000199,0.000163,0.000219
OMP_NUM_THREADS=1 lu.aot,0.000158,0.000231,0.000236,0.000186,0.000204,0.000227,0.000172,0.000197
OMP_NUM_THREADS=1 mg.aot,0.000136,0.000146,0.000147,0.000215,0.000181,0.000194,0.000144,0.000182
OMP_NUM_THREADS=1 sp.aot,0.000209,0.000215,0.000185,0.000199,0.000207,0.000212,0.000232,0.000191
OMP_NUM_THREADS=1 redis.aot,0.000178,0.00017,0.000145,0.000157,0.000151,0.000139,0.000113,0.000157
OMP_NUM_THREADS=1 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,0.000152,0.000174,0.000144,0.000167,0.000154,0.000169,9.7e-05,0.000148
OMP_NUM_THREADS=1 bc.aot -g20 -vn300,0.000173,0.000139,0.000164,0.000164,0.000172,0.000171,0.000171,0.000161
OMP_NUM_THREADS=1 bfs.aot -g20 -vn300,0.000183,0.000164,0.000166,0.000218,0.000179,0.000184,0.000186,0.000147
OMP_NUM_THREADS=1 cc.aot -g20 -vn300,0.000178,0.000165,0.000174,0.000177,0.000195,0.000141,0.000171,0.000151
OMP_NUM_THREADS=1 cc_sv.aot -g20 -vn300,0.00017,0.000127,0.000192,0.000177,0.000176,0.000189,0.00018,0.000189
OMP_NUM_THREADS=1 pr.aot -g20 -vn300,0.000185,0.000168,0.000191,0.000183,0.000174,0.000166,0.000156,0.000152
OMP_NUM_THREADS=1 pr_spmv.aot -g20 -vn300,0.000164,0.00019,0.000169,0.00016,0.000171,0.00019,0.000179,0.000276
OMP_NUM_THREADS=1 sssp.aot -g20 -vn300,0.000163,0.000134,0.000288,0.000179,0.000162,0.000186,0.000275,0.000179
OMP_NUM_THREADS=1 tc.aot -g20 -n1,0.000155,0.000162,0.000182,0.000176,0.000174,0.000168,0.000145,0.000177
OMP_NUM_THREADS=1 bt.aot,0.000182,0.000207,0.000189,0.000189,0.00019,0.000196,0.000197,0.000182
OMP_NUM_THREADS=1 cg.aot,0.000139,0.000162,0.000194,0.000197,0.00021,0.000216,0.00016,0.000126
OMP_NUM_THREADS=1 ep.aot,0.000126,0.000126,0.000126,0.000126,0.000126,0.000126,0.000126,0.000126
OMP_NUM_THREADS=1 ft.aot,0.000165,0.000152,0.000186,0.000198,0.000195,0.000131,0.00021,0.000208
OMP_NUM_THREADS=1 lu.aot,0.000122,0.000152,0.016277,0.00019,0.000185,0.000183,0.00014,0.00023
OMP_NUM_THREADS=1 mg.aot,0.000166,0.000171,0.000193,0.000197,0.000193,0.00017,0.0001,0.000148
OMP_NUM_THREADS=1 sp.aot,0.000176,0.000183,0.000191,0.000173,0.000166,0.000361,0.000187,0.000152
OMP_NUM_THREADS=1 redis.aot,0.00014,0.000102,0.00017,0.000151,0.000153,0.000165,0.000175,0.000195
OMP_NUM_THREADS=1 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,0.000155,0.000144,0.000123,0.000136,0.000129,0.000154,0.000147,0.000154
OMP_NUM_THREADS=1 bc.aot -g20 -vn300,0.000176,0.000168,0.000145,0.000161,0.000187,0.000156,0.000164,0.000173
OMP_NUM_THREADS=1 bfs.aot -g20 -vn300,0.00018,0.000145,0.000175,0.000127,0.000185,0.000187,0.000183,0.000186
OMP_NUM_THREADS=1 cc.aot -g20 -vn300,0.000208,0.000195,0.000173,0.000201,0.00016,0.000174,0.000185,0.000175
OMP_NUM_THREADS=1 cc_sv.aot -g20 -vn300,0.000176,0.000171,0.000159,0.000178,0.000197,0.000162,0.000161,0.000123
OMP_NUM_THREADS=1 pr.aot -g20 -vn300,0.000163,0.000163,0.000154,0.000162,0.000152,0.000176,0.000172,0.000199
OMP_NUM_THREADS=1 pr_spmv.aot -g20 -vn300,0.000205,0.000194,0.000193,0.00019,0.000178,0.000174,0.000191,0.00027
OMP_NUM_THREADS=1 sssp.aot -g20 -vn300,0.000284,0.000174,0.000164,0.000175,0.000168,0.00018,0.000206,0.000154
OMP_NUM_THREADS=1 tc.aot -g20 -n1,0.000181,0.000156,0.000177,0.000158,0.000167,0.000153,0.000238,0.000175
OMP_NUM_THREADS=1 bt.aot,0.000186,0.000312,0.000199,0.000208,0.000225,0.000191,0.000171,0.000169
OMP_NUM_THREADS=1 cg.aot,0.000164,0.000197,0.000168,0.000211,0.000199,0.000213,0.000153,0.000142
OMP_NUM_THREADS=1 ep.aot,0.000142,0.000142,0.000142,0.000142,0.000142,0.000142,0.000142,0.000142
OMP_NUM_THREADS=1 ft.aot,0.000168,0.000135,0.000212,0.000172,0.000155,0.000198,0.000168,0.000235
OMP_NUM_THREADS=1 lu.aot,0.00018,0.000277,0.00017,0.000182,0.000224,0.000265,0.00018,0.000203
OMP_NUM_THREADS=1 mg.aot,0.000153,0.000178,0.000196,0.000163,0.000208,0.000209,0.000164,0.000161
OMP_NUM_THREADS=1 sp.aot,0.000216,0.000188,0.000288,0.000215,0.000207,0.00019,0.000176,0.00014
OMP_NUM_THREADS=1 redis.aot,0.000153,0.000154,0.000157,0.000139,0.000151,0.000148,0.000182,0.000173
OMP_NUM_THREADS=1 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,0.000161,0.000113,0.000131,0.00015,0.000154,0.0001,0.000162,0.000197
OMP_NUM_THREADS=1 bc.aot -g20 -vn300,0.000146,0.000215,0.000196,0.000187,0.00018,0.000165,0.000181,0.000175
OMP_NUM_THREADS=1 bfs.aot -g20 -vn300,0.000228,0.000153,0.000166,0.000185,0.000124,0.000181,0.000188,0.000164
OMP_NUM_THREADS=1 cc.aot -g20 -vn300,0.000153,0.00018,0.000212,0.00018,0.000181,0.000153,0.000158,0.000179
OMP_NUM_THREADS=1 cc_sv.aot -g20 -vn300,0.000194,0.000172,0.000163,0.000163,0.000183,0.000145,0.000157,0.000165
OMP_NUM_THREADS=1 pr.aot -g20 -vn300,0.000244,0.000175,0.000238,0.000204,0.000134,0.000183,0.000156,0.000216
OMP_NUM_THREADS=1 pr_spmv.aot -g20 -vn300,0.000162,0.000166,0.000187,0.000173,0.000193,0.000198,0.000205,0.000177
OMP_NUM_THREADS=1 sssp.aot -g20 -vn300,0.000178,0.000187,0.000216,0.000179,0.000164,0.000171,0.000144,0.000163
OMP_NUM_THREADS=1 tc.aot -g20 -n1,0.000162,0.000165,0.000177,0.000168,0.000175,0.000164,0.000181,0.000169
OMP_NUM_THREADS=1 bt.aot,0.000171,0.000189,0.000207,0.000204,0.000174,0.00021,0.000197,0.000133
OMP_NUM_THREADS=1 cg.aot,0.000159,0.000167,0.000117,0.000203,0.00021,0.000204,0.000134,0.00015
OMP_NUM_THREADS=1 ep.aot,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015
OMP_NUM_THREADS=1 ft.aot,0.000181,0.000147,0.000171,0.000141,0.000156,0.000164,0.000169,0.000236
OMP_NUM_THREADS=1 lu.aot,0.000165,0.000162,0.000267,0.000166,0.000261,0.000208,0.00018,0.000226
OMP_NUM_THREADS=1 mg.aot,0.00014,0.000158,0.000191,0.00019,0.000186,0.000189,0.000165,0.000147
OMP_NUM_THREADS=1 sp.aot,0.000236,0.000169,0.000227,0.000181,0.000154,0.000188,0.000197,0.000187
OMP_NUM_THREADS=1 redis.aot,0.000167,0.000186,0.000154,0.00018,0.000137,0.000148,0.000136,0.000195
OMP_NUM_THREADS=1 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,0.000146,0.00015,0.000149,0.000125,0.00014,0.000137,0.000184,0.000101
OMP_NUM_THREADS=1 bc.aot -g20 -vn300,0.000164,0.000183,0.000221,0.000192,0.000153,0.000178,0.000185,0.0002
OMP_NUM_THREADS=1 bfs.aot -g20 -vn300,0.000176,0.000184,0.00017,0.000162,0.000171,0.000178,0.000189,0.000185
OMP_NUM_THREADS=1 cc.aot -g20 -vn300,0.000152,0.000173,0.000174,0.000159,0.000171,0.000184,0.000165,0.000158
OMP_NUM_THREADS=1 cc_sv.aot -g20 -vn300,0.000166,0.000157,0.000177,0.000181,0.000178,0.000192,0.00016,0.000152
OMP_NUM_THREADS=1 pr.aot -g20 -vn300,0.000163,0.000179,0.000218,0.000203,0.000175,0.00017,0.000163,0.00017
OMP_NUM_THREADS=1 pr_spmv.aot -g20 -vn300,0.000172,0.000169,0.000181,0.00016,0.000201,0.000237,0.000172,0.000207
OMP_NUM_THREADS=1 sssp.aot -g20 -vn300,0.000193,0.000178,0.000231,0.000215,0.000182,0.000167,0.000181,0.000169
OMP_NUM_THREADS=1 tc.aot -g20 -n1,0.000153,0.000135,0.000192,0.000165,0.00017,0.000176,0.000163,0.000179
OMP_NUM_THREADS=1 bt.aot,0.000174,0.000266,0.000203,0.000236,0.000192,0.000204,0.000202,0.000178
OMP_NUM_THREADS=1 cg.aot,0.000157,0.000212,0.000224,0.000223,0.000205,0.000245,0.000141,0.000142
OMP_NUM_THREADS=1 ep.aot,0.000142,0.000142,0.000142,0.000142,0.000142,0.000142,0.000142,0.000142
OMP_NUM_THREADS=1 ft.aot,0.000167,0.000157,0.000191,0.000178,0.000153,0.000141,0.000163,0.000214
OMP_NUM_THREADS=1 lu.aot,0.000179,0.000205,0.000171,0.000195,0.000248,0.000335,0.000173,0.000215
OMP_NUM_THREADS=1 mg.aot,0.000164,0.000195,0.000194,0.0002,0.000187,0.000195,0.000139,0.000119
OMP_NUM_THREADS=1 sp.aot,0.000201,0.000201,0.000191,0.000206,0.000172,0.0002,0.000197,0.000177
OMP_NUM_THREADS=1 redis.aot,0.000157,0.000154,0.000156,0.000124,0.000161,0.00016,0.000155,0.000141
OMP_NUM_THREADS=1 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,0.000159,0.000156,0.000157,0.000107,0.000127,0.000126,0.00015,0.000113
OMP_NUM_THREADS=1 bc.aot -g20 -vn300,0.000134,0.000171,0.000207,0.000206,0.000184,0.000146,0.000163,0.000184
OMP_NUM_THREADS=1 bfs.aot -g20 -vn300,0.00021,0.000197,0.000171,0.000155,0.000157,0.000203,0.000186,0.000154
OMP_NUM_THREADS=1 cc.aot -g20 -vn300,0.00017,0.000173,0.000185,0.000175,0.000192,0.000168,0.000148,0.00016
OMP_NUM_THREADS=1 cc_sv.aot -g20 -vn300,0.000167,0.000177,0.000165,0.000186,0.000159,0.00017,0.000162,0.000204
OMP_NUM_THREADS=1 pr.aot -g20 -vn300,0.000154,0.00018,0.000194,0.000176,0.000159,0.000198,0.000164,0.000129
OMP_NUM_THREADS=1 pr_spmv.aot -g20 -vn300,0.000179,0.000172,0.000192,0.000168,0.000204,0.000196,0.00019,0.000161
OMP_NUM_THREADS=1 sssp.aot -g20 -vn300,0.000144,0.000171,0.000142,0.000153,0.000151,0.000203,0.000169,0.000148
OMP_NUM_THREADS=1 tc.aot -g20 -n1,0.000173,0.000208,0.000181,0.000163,0.000157,0.000165,0.000146,0.000177
OMP_NUM_THREADS=1 bt.aot,0.000171,0.00022,0.000208,0.000181,0.000152,0.000199,0.000204,0.00014
OMP_NUM_THREADS=1 cg.aot,0.00014,0.000169,0.000191,0.000196,0.000182,0.000194,0.000129,0.000146
OMP_NUM_THREADS=1 ep.aot,0.000146,0.000146,0.000146,0.000146,0.000146,0.000146,0.000146,0.000146
OMP_NUM_THREADS=1 ft.aot,0.000189,0.000134,0.000222,0.000164,0.000166,0.000152,0.000119,0.000225
OMP_NUM_THREADS=1 lu.aot,0.000127,0.000214,0.000257,0.000217,0.000234,0.000174,0.000189,0.000216
OMP_NUM_THREADS=1 mg.aot,0.000165,0.000134,0.000226,0.000187,0.0002,0.000199,0.000123,0.000146
OMP_NUM_THREADS=1 sp.aot,0.000214,0.000201,0.000219,0.00018,0.000183,0.000205,0.000212,0.000193
OMP_NUM_THREADS=1 redis.aot,0.00015,0.000166,0.000145,0.000115,0.000112,0.000135,0.000137,0.000156
OMP_NUM_THREADS=1 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,0.00015,0.000157,0.00014,0.000155,0.000156,0.000147,0.000141,0.000175
OMP_NUM_THREADS=1 bc.aot -g20 -vn300,0.00018,0.000196,0.000166,0.000176,0.00015,0.000173,0.000157,0.000299
OMP_NUM_THREADS=1 bfs.aot -g20 -vn300,0.00016,0.000173,0.00018,0.000208,0.000182,0.000181,0.00018,0.000159
OMP_NUM_THREADS=1 cc.aot -g20 -vn300,0.000178,0.000119,0.000161,0.000152,0.000175,0.000167,0.000164,0.000205
OMP_NUM_THREADS=1 cc_sv.aot -g20 -vn300,0.000174,0.000159,0.000196,0.000181,0.000163,0.00018,0.000169,0.000195
OMP_NUM_THREADS=1 pr.aot -g20 -vn300,0.000178,0.000183,0.000177,0.000175,0.000169,0.000154,0.000185,0.000131
OMP_NUM_THREADS=1 pr_spmv.aot -g20 -vn300,0.000186,0.000188,0.000173,0.000177,0.000183,0.000186,0.00015,0.000181
OMP_NUM_THREADS=1 sssp.aot -g20 -vn300,0.000165,0.000178,0.000154,0.000167,0.000218,0.000161,0.000191,0.000172
OMP_NUM_THREADS=1 tc.aot -g20 -n1,0.000169,0.000156,0.000127,0.000211,0.000197,0.000164,0.000233,0.000195
OMP_NUM_THREADS=1 bt.aot,0.000201,0.000213,0.000201,0.000243,0.000195,0.000197,0.000185,0.000167
OMP_NUM_THREADS=1 cg.aot,0.000167,0.00016,0.000225,0.000215,0.000196,0.000183,0.00016,0.000162
OMP_NUM_THREADS=1 ep.aot,0.000162,0.000162,0.000162,0.000162,0.000162,0.000162,0.000162,0.000162
OMP_NUM_THREADS=1 ft.aot,0.000173,0.000134,0.000175,0.000176,0.000145,0.000155,0.000156,0.00025
OMP_NUM_THREADS=1 lu.aot,0.000158,0.000213,0.000189,0.000201,0.000229,0.000237,0.000167,0.000203
OMP_NUM_THREADS=1 mg.aot,0.000153,0.000181,0.000186,0.000192,0.000247,0.000195,0.000142,0.000139
OMP_NUM_THREADS=1 sp.aot,0.000231,0.000187,0.00019,0.000267,0.000173,0.000204,0.000202,0.000207
OMP_NUM_THREADS=1 redis.aot,0.000154,0.000201,0.00014,0.000147,0.000141,0.000171,0.000154,0.000145
OMP_NUM_THREADS=1 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,0.000132,0.000125,0.00014,0.000144,0.000162,0.00015,0.000177,0.000143
OMP_NUM_THREADS=1 bc.aot -g20 -vn300,0.000161,0.000153,0.000168,0.000182,0.000175,0.000191,0.00016,0.000176
OMP_NUM_THREADS=1 bfs.aot -g20 -vn300,0.000238,0.000211,0.000233,0.000292,0.000175,0.000171,0.000162,0.000165
OMP_NUM_THREADS=1 cc.aot -g20 -vn300,0.000161,0.000159,0.000178,0.000149,0.000164,0.000199,0.000161,0.000173
OMP_NUM_THREADS=1 cc_sv.aot -g20 -vn300,0.00016,0.000179,0.000164,0.000194,0.000173,0.000214,0.000175,0.000171
OMP_NUM_THREADS=1 pr.aot -g20 -vn300,0.000166,0.000154,0.000159,0.000166,0.000183,0.000173,0.000198,0.000169
OMP_NUM_THREADS=1 pr_spmv.aot -g20 -vn300,0.000177,0.000153,0.000184,0.000131,0.000186,0.000158,0.000177,0.000176
OMP_NUM_THREADS=1 sssp.aot -g20 -vn300,0.000161,0.000165,0.000183,0.000192,0.000186,0.000172,0.000186,0.000216
OMP_NUM_THREADS=1 tc.aot -g20 -n1,0.000156,0.000146,0.000179,0.00017,0.000165,0.000172,0.000153,0.000172
OMP_NUM_THREADS=1 bt.aot,0.000211,0.000198,0.000184,0.000147,0.000181,0.000219,0.000186,0.000153
OMP_NUM_THREADS=1 cg.aot,0.000152,0.000137,0.000175,0.000162,0.000199,0.000204,0.00015,0.00016
OMP_NUM_THREADS=1 ep.aot,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016
OMP_NUM_THREADS=1 ft.aot,0.000179,0.000132,0.000183,0.000125,0.000187,0.000165,0.000125,0.000213
OMP_NUM_THREADS=1 lu.aot,0.000129,0.000187,0.000159,0.000199,0.000229,0.000188,0.00016,0.000215
OMP_NUM_THREADS=1 mg.aot,0.000172,0.000159,0.000198,0.000214,0.000187,0.000195,0.000135,0.000167
OMP_NUM_THREADS=1 sp.aot,0.000182,0.000182,0.000202,0.000217,0.000191,0.000201,0.000189,0.000184
OMP_NUM_THREADS=1 redis.aot,0.00015,0.000151,0.000102,0.000162,0.000148,0.000134,0.000143,0.000159
OMP_NUM_THREADS=1 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,0.000148,0.000151,0.000139,0.000167,0.000145,0.000148,0.000171,0.00016
OMP_NUM_THREADS=1 bc.aot -g20 -vn300,0.000141,0.000152,0.000127,0.000177,0.000172,0.000192,0.000184,0.000171
OMP_NUM_THREADS=1 bfs.aot -g20 -vn300,0.000171,0.000168,0.000158,0.000179,0.000193,0.000174,0.000194,0.000186
OMP_NUM_THREADS=1 cc.aot -g20 -vn300,0.000196,0.00019,0.00019,0.000161,0.000168,0.000138,0.000184,0.000267
OMP_NUM_THREADS=1 cc_sv.aot -g20 -vn300,0.000141,0.000167,0.000186,0.000159,0.000175,0.000165,0.000143,0.00015
OMP_NUM_THREADS=1 pr.aot -g20 -vn300,0.000171,0.000179,0.000176,0.000169,0.000167,0.000176,0.000166,0.000148
OMP_NUM_THREADS=1 pr_spmv.aot -g20 -vn300,0.000193,0.000174,0.000176,0.000179,0.000153,0.000181,0.000177,0.000213
OMP_NUM_THREADS=1 sssp.aot -g20 -vn300,0.000186,0.000179,0.000167,0.000186,0.000182,0.000188,0.000174,0.000198
OMP_NUM_THREADS=1 tc.aot -g20 -n1,0.000174,0.00019,0.000153,0.000178,0.000177,0.000177,0.000177,0.000172
OMP_NUM_THREADS=1 bt.aot,0.000228,0.000192,0.000184,0.000179,0.000299,0.000205,0.000203,0.000164
OMP_NUM_THREADS=1 cg.aot,0.000127,0.00019,0.000202,0.00019,0.000196,0.000165,0.00013,0.000197
OMP_NUM_THREADS=1 ep.aot,0.000197,0.000197,0.000197,0.000197,0.000197,0.000197,0.000197,0.000197
OMP_NUM_THREADS=1 ft.aot,0.000176,0.000165,0.000193,0.000165,0.000146,0.000163,0.000152,0.000222
OMP_NUM_THREADS=1 lu.aot,0.000166,0.000208,0.000181,0.000219,0.000198,0.000224,0.00015,0.000147
OMP_NUM_THREADS=1 mg.aot,0.000151,0.000181,0.000204,0.00021,0.000187,0.000178,0.000138,0.000152
OMP_NUM_THREADS=1 sp.aot,0.000185,0.000205,0.000217,0.000181,0.000159,0.000182,0.00018,0.000173
OMP_NUM_THREADS=1 redis.aot,0.000169,0.000157,0.000131,0.000149,0.000146,0.000215,0.000151,0.000176
OMP_NUM_THREADS=1 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,0.000144,0.000191,0.000191,0.000164,0.000149,0.000149,0.000133,0.000147
OMP_NUM_THREADS=1 bc.aot -g20 -vn300,0.000172,0.000306,0.000186,0.000168,0.000145,0.00018,0.000189,0.000168
OMP_NUM_THREADS=1 bfs.aot -g20 -vn300,0.000165,0.000187,0.000181,0.000136,0.00017,0.000175,0.000175,0.000166
OMP_NUM_THREADS=1 cc.aot -g20 -vn300,0.000158,0.000165,0.000185,0.000162,0.000217,0.00019,0.000171,0.000152
OMP_NUM_THREADS=1 cc_sv.aot -g20 -vn300,0.000158,0.000202,0.000148,0.000139,0.000197,0.000169,0.00017,0.000201
OMP_NUM_THREADS=1 pr.aot -g20 -vn300,0.000173,0.000178,0.000179,0.000179,0.000138,0.000151,0.00018,0.000164
OMP_NUM_THREADS=1 pr_spmv.aot -g20 -vn300,0.000212,0.000137,0.00019,0.000185,0.000182,0.000192,0.000227,0.000166
OMP_NUM_THREADS=1 sssp.aot -g20 -vn300,0.000171,0.00018,0.000171,0.000143,0.000162,0.000177,0.000156,0.00017
OMP_NUM_THREADS=1 tc.aot -g20 -n1,0.000177,0.000163,0.000193,0.000198,0.000162,0.000154,0.000148,0.000169
OMP_NUM_THREADS=1 bt.aot,0.000178,0.000225,0.000174,0.00023,0.000193,0.000206,0.000225,0.000177
OMP_NUM_THREADS=1 cg.aot,0.000111,0.00016,0.000173,0.000175,0.000159,0.000255,0.000137,0.000148
OMP_NUM_THREADS=1 ep.aot,0.000148,0.000148,0.000148,0.000148,0.000148,0.000148,0.000148,0.000148
OMP_NUM_THREADS=1 ft.aot,0.000209,0.000141,0.000174,0.000168,0.000184,0.000178,0.000166,0.000213
OMP_NUM_THREADS=1 lu.aot,0.000161,0.000218,0.000202,0.000197,0.00021,0.000184,0.000159,0.000196
OMP_NUM_THREADS=1 mg.aot,0.000164,0.000196,0.000262,0.000193,0.000187,0.000188,0.000138,0.000196
OMP_NUM_THREADS=1 sp.aot,0.000168,0.000197,0.000202,0.000265,0.000193,0.000204,0.000195,0.000192
OMP_NUM_THREADS=1 redis.aot,0.000161,0.000145,0.000161,0.000152,0.000133,0.0001,0.000139,0.00015
