name,aot,pure.aot,stack.aot,ckpt-every-dirty.aot,ckpt-loop.aot,ckpt-loop-dirty.aot
OMP_NUM_THREADS=1 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,30.579599,30.459907,30.992723,30.992723,31.609169,31.55818
OMP_NUM_THREADS=1 bc.aot -g20 -vn300,252.59549,252.59549,245.104248,245.104248,325.020712,414.683538
OMP_NUM_THREADS=1 bfs.aot -g20 -vn300,81.259948,81.259948,72.299349,72.299349,99.681228,114.275528
OMP_NUM_THREADS=1 cc.aot -g20 -vn300,137.92017,137.92017,114.458906,114.458906,144.805277,163.435177
OMP_NUM_THREADS=1 cc_sv.aot -g20 -vn300,165.727677,165.727677,154.293468,154.293468,208.702483,233.295204
OMP_NUM_THREADS=1 pr.aot -g20 -vn300,143.934043,143.934043,131.991328,131.991328,221.502876,248.641982
OMP_NUM_THREADS=1 pr_spmv.aot -g20 -vn300,134.933776,134.933776,124.516126,124.516126,211.297847,210.025032
OMP_NUM_THREADS=1 sssp.aot -g20 -vn300,339.121024,339.121024,325.563358,325.563358,388.32221,389.301468
OMP_NUM_THREADS=1 tc.aot -g20 -n1,69.76356,69.76356,47.283098,47.283098,58.892129,56.018097
OMP_NUM_THREADS=1 bt.aot,73.566833,41.221823,62.714646,62.714646,67.701598,67.190247
OMP_NUM_THREADS=1 cg.aot,23.170166,18.822923,22.278697,22.278697,31.8561,34.309965
OMP_NUM_THREADS=1 ep.aot,0.00032,0.000238,0.000389,0.000389,0.00032,0.000328
OMP_NUM_THREADS=1 ft.aot,24.247659,23.111887,25.196673,25.196673,59.442717,56.487328
OMP_NUM_THREADS=1 lu.aot,0.039196,0.035329,0.025274,0.025274,0.042126,0.042273
OMP_NUM_THREADS=1 mg.aot,17.796665,13.053103,16.239325,16.239325,26.996176,28.479782
OMP_NUM_THREADS=1 sp.aot,13.614245,3.726406,10.786758,10.786758,13.292097,14.050023
OMP_NUM_THREADS=1 redis.aot,49.661452,8.122003,46.011218,46.011218,51.94616,53.851613
a=b hdastar.aot maze-6404.txt 8,0.472297,0.503012,0.493501,0.493501,0.535528,0.556757
OMP_NUM_THREADS=1 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,27.570649,26.698633,27.214007,27.214007,27.008641,22.348884
OMP_NUM_THREADS=1 bc.aot -g20 -vn300,254.562551,254.562551,241.657776,241.657776,329.857231,412.86232
OMP_NUM_THREADS=1 bfs.aot -g20 -vn300,82.927404,82.927404,72.407924,72.407924,100.642559,112.448555
OMP_NUM_THREADS=1 cc.aot -g20 -vn300,131.810926,131.810926,109.791325,109.791325,141.561895,150.268529
OMP_NUM_THREADS=1 cc_sv.aot -g20 -vn300,158.19604,158.19604,145.648569,145.648569,199.699243,226.068126
OMP_NUM_THREADS=1 pr.aot -g20 -vn300,138.890423,138.890423,128.174126,128.174126,212.223247,231.319823
OMP_NUM_THREADS=1 pr_spmv.aot -g20 -vn300,131.473775,131.473775,118.571046,118.571046,195.092098,203.839057
OMP_NUM_THREADS=1 sssp.aot -g20 -vn300,318.728523,318.728523,325.100057,325.100057,387.397821,384.438495
OMP_NUM_THREADS=1 tc.aot -g20 -n1,69.785647,69.785647,47.73195,47.73195,58.906558,55.516005
OMP_NUM_THREADS=1 bt.aot,73.430939,41.16568,62.113462,62.113462,67.482667,67.170115
OMP_NUM_THREADS=1 cg.aot,22.967487,18.781673,22.219068,22.219068,32.005792,34.460614
OMP_NUM_THREADS=1 ep.aot,0.000333,0.000145,0.000388,0.000388,0.000405,0.000385
OMP_NUM_THREADS=1 ft.aot,24.237837,22.696115,23.310203,23.310203,57.409572,54.024417
OMP_NUM_THREADS=1 lu.aot,0.027526,0.020989,0.02399,0.02399,0.029072,0.027078
OMP_NUM_THREADS=1 mg.aot,16.91424,12.266848,16.119584,16.119584,26.84959,28.189415
OMP_NUM_THREADS=1 sp.aot,13.266372,3.596383,10.631582,10.631582,13.177823,13.781444
OMP_NUM_THREADS=1 redis.aot,46.763712,8.2798,43.317535,43.317535,48.678621,50.034511
a=b hdastar.aot maze-6404.txt 8,0.536552,0.466559,0.548434,0.548434,0.042031,0.529893